vehicle_id,manufacturer,model,vehicle_year,vehicle_type,fuel_type,transmission,engine_cc,mileage_kmpl,vehicle_price,units_sold,service_cost,manufacturing_region
VH03648,Toyota,Camry,2021,SUV,Diesel,CVT,2232.0,11.14,30885.48,4963,995.82,Latin America
VH03572,Audi,Q7,2009,Truck,Diesel,AMT,4852.0,17.45,43808.85,4339,2083.39,Latin America
VH00880,Hyundai,Palisade,2013,Van,Petrol,Manual,2681.0,14.54,26977.68,3866,,North America
VH01384,Mazda,CX-9,2018,Wagon,Petrol,Automatic,3302.0,14.85,24994.49,1706,960.77,Europe
VH03665,Mercedes-Benz,AMG GT,2012,Wagon,Electric,AMT,0.0,9.33,54151.71,201,2161.64,Middle East
VH00107,Toyota,RAV4,2013,Coupe,Hybrid,DCT,2001.0,23.24,25987.38,3174,920.29,Middle East
VH01398,Lexus,GX,2009,Coupe,Petrol,DCT,2130.0,13.2,42643.69,4796,2360.4,Middle East
VH02747,Jeep,Gladiator,2011,SUV,CNG,,4710.0,21.03,25531.22,3501,981.76,Latin America
VH02146,Audi,Q7,2017,Wagon,LPG,CVT,2209.0,15.08,41895.32,3373,1501.34,Middle East
VH01345,Hyundai,Tucson,2012,Hatchback,Diesel,AMT,2008.0,24.25,26666.98,1891,1404.54,Europe
VH02187,Mazda,Mazda3,2010,SUV,Electric,DCT,0.0,8.84,32713.35,2553,,South Asia
VH04329,Honda,HR-V,2006,Truck,Electric,Automatic,0.0,6.54,35603.38,2179,1856.85,Africa
VH03337,Volvo,S60,2011,Van,LPG,AMT,3099.0,9.76,50033.35,3791,,Europe
VH01653,Nissan,Pathfinder,2021,Convertible,LPG,DCT,2958.0,17.22,22690.05,2485,669.02,Europe
VH01962,Mercedes-Benz,E-Class,2019,Van,CNG,CVT,3031.0,17.67,46524.55,3484,1517.21,Middle East
VH00734,Volvo,XC60,2010,Convertible,LPG,Automatic,1179.0,13.29,39210.95,320,1753.24,Europe
VH02139,Audi,e-tron,2015,SUV,Diesel,Manual,3360.0,13.93,56553.12,4080,2528.55,Asia Pacific
VH01058,Ram,Dakota,2021,Truck,Petrol,Manual,3598.0,9.04,29578.25,2195,1136.34,Middle East
VH04636,Toyota,Corolla,2017,SUV,,Automatic,4650.0,26.82,28772.2,1502,,Latin America
VH00712,Honda,Pilot,2017,Sedan,Electric,Manual,0.0,5.96,28309.47,2704,951.55,Asia Pacific
VH03703,Volvo,C40,2008,Truck,Diesel,CVT,5322.0,11.81,42570.54,3828,2728.63,Asia Pacific
VH00240,  Volkswagen  ,Atlas,2008,Wagon, Diesel ,DCT,3339.0,22.81,23707.25,4284,1414.34,Asia Pacific
VH00066,Audi,A6,2021,Coupe,Diesel,DCT,1599.0,22.03,,4898,1779.69,Middle East
VH00777,Chevrolet,Blazer,2016,SUV,Petrol,AMT,1605.0,19.89,26578.57,176,954.71,Africa
VH00411,Toyota,RAV4,2013,SUV,Electric,CVT,0.0,9.82,30318.41,2579,1555.25,South Asia
VH00531,Mazda,CX-30,2005,Truck,Diesel,DCT,4352.0,24.84,31134.5,2861,1897.66,South Asia
VH02147,Chevrolet,Blazer,2014,SUV,Electric,CVT,0.0,11.53,31853.46,3127,1775.24,South Asia
VH00590,Audi,A6,2022,Van,CNG,DCT,2396.0,21.32,39815.91,1142,1353.61,Asia Pacific
VH02693,  Mazda  ,CX-5,2016,Truck, LPG ,CVT,2720.0,12.64,32874.35,1885,1438.43,Middle East
VH03136,Mazda,Mazda3,2022,Van,Petrol,Automatic,3191.0,,29756.63,3925,1033.0,Africa
VH03639,Porsche,Panamera,2023,SUV,Electric,Manual,0.0,13.53,72557.59,2933,2902.09,Europe
VH03906,Volkswagen,Golf,2016,Hatchback,Hybrid,AMT,3368.0,15.47,25128.81,1579,1114.71,Asia Pacific
VH02760,Chevrolet,Blazer,2016,Sedan,LPG,DCT,1552.0,14.66,24072.38,2057,608.37,Asia Pacific
VH01616,Lexus,GX,2022,Truck,CNG,Manual,4744.0,16.02,47615.16,237,1528.77,Latin America
VH02415,Honda,Civic,2016,Hatchback,CNG,Manual,3099.0,16.85,19974.02,1632,901.73,Latin America
VH04880,Ram,Dakota,2006,Truck,Diesel,Manual,3695.0,15.34,28336.02,2024,2111.08,Europe
VH04128,Toyota,Tacoma,2018,Truck,Electric,AMT,0.0,11.67,40724.56,3575,1864.72,Africa
VH00562,Chevrolet,Blazer,2023,SUV,Hybrid,DCT,4592.0,25.44,26723.02,3213,945.23,North America
VH00085,Mazda,CX-30,2012,Coupe,CNG,Manual,1439.0,21.36,25542.9,2765,1381.35,Europe
VH04630,Toyota,Prius,2009,Sedan,Hybrid,Manual,2582.0,,27068.98,4707,1955.17,Middle East
VH03106,Porsche,911,2007,Convertible,CNG,Automatic,2271.0,13.13,34991.21,235,1326.33,Africa
VH02535,Subaru,WRX,2018,Truck,CNG,AMT,4540.0,16.89,24879.61,4959,972.83,Asia Pacific
VH02145,Hyundai,Santa Fe,2017,SUV,Petrol,CVT,2011.0,8.25,23812.88,1423,933.7,Africa
VH01527,Ford,Explorer,2010,SUV,Petrol,AMT,4204.0,14.32,29968.41,3405,1655.11,Europe
VH03248,Mercedes-Benz,E-Class,2019,Sedan,CNG,AMT,1684.0,17.01,37965.12,2033,1293.08,Middle East
VH00735,Subaru,Forester,2009,Coupe,,CVT,3446.0,34.03,28473.74,3818,1732.23,Asia Pacific
VH01363,Volkswagen,Jetta,2014,Hatchback,Hybrid,Automatic,1059.0,17.73,27410.47,1445,1342.87,Africa
VH03535,Ram,3500,2012,Van,Electric,AMT,0.0,5.06,,4987,1946.31,North America
VH00487,Volkswagen,Jetta,2008,Truck,LPG,DCT,3500.0,17.04,29216.19,3785,,North America
VH01505,Kia,Sportage,2014,Truck,Diesel,,4106.0,19.09,32541.68,2658,1613.61,Europe
VH03299,Audi,A6,2008,Sedan,Hybrid,Automatic,1773.0,,52293.39,4585,2587.7,Latin America
VH03451,Audi,e-tron,2010,Van,Electric,CVT,0.0,13.54,62652.09,1280,3885.62,Africa
VH04452,Chevrolet,Equinox,2010,SUV,Petrol,AMT,2435.0,18.5,33074.48,2538,1836.91,Latin America
VH03165,Audi,Q7,2015,SUV,CNG,CVT,2277.0,15.85,57842.22,4242,,North America
VH02973,Jeep,Compass,2010,SUV,Electric,DCT,0.0,14.63,27966.58,2538,1368.86,Middle East
VH01439,Honda,Ridgeline,2005,Truck,LPG,DCT,4448.0,17.52,24904.0,2171,1504.84,Africa
VH00180,Lexus,ES,2009,Sedan,Electric,CVT,0.0,6.44,48869.07,631,2718.41,Africa
VH01129,Kia,Carnival,2017,Convertible,LPG,Automatic,1815.0,12.91,28493.16,3046,,Asia Pacific
VH00080,Subaru,WRX,2015,Convertible,Hybrid,AMT,2230.0,26.99,28615.28,4226,949.46,Middle East
VH02585,Nissan,Pathfinder,2014,Convertible,Electric,Manual,0.0,9.31,37232.8,4931,1959.48,Latin America
VH01910,Tesla,Model 3,2020,SUV,LPG,Automatic,,17.64,46711.06,49,1478.05,Asia Pacific
VH02772,Ram,1500,2018,Truck,CNG,AMT,5910.0,14.34,31208.43,4169,,Asia Pacific
VH04873,Lexus,NX,2022,SUV,Hybrid,Manual,3549.0,27.35,-55970.18,4340,2352.8,Latin America
VH03104,Porsche,Cayenne,2006,Coupe,CNG,Automatic,1022.0,,41045.49,4950,1905.36,Africa
VH02946,Volkswagen,Jetta,2021,SUV,Diesel,Automatic,4760.0,24.01,24946.9,4278,845.85,North America
VH00200,Ford,Escape,2019,SUV,CNG,CVT,2352.0,12.99,25941.88,2922,871.62,Latin America
VH02136,Volkswagen,Passat,2021,Hatchback,Electric,CVT,,,27740.69,2031,1012.37,Latin America
VH00280,Ford,Edge,2010,Sedan,CNG,DCT,2046.0,20.88,21716.37,1027,667.01,South Asia
VH00908,Land Rover,Defender,2018,SUV,Hybrid,AMT,1973.0,33.49,70026.15,2616,2563.99,Latin America
VH03409,Mazda,CX-9,2009,Hatchback,CNG,Manual,1730.0,20.6,19041.31,3230,999.58,North America
VH01145,Volvo,V60,2024,Sedan,Diesel,Automatic,1037.0,19.65,50434.62,3447,1768.76,South Asia
VH00427,Porsche,Cayenne,2022,Coupe,CNG,AMT,1687.0,12.65,47446.78,4616,1526.13,Europe
VH01205,Subaru,Crosstrek,2020,Coupe,Electric,CVT,0.0,13.84,36154.91,4501,1165.15,Asia Pacific
VH01455,Ram,1500,2014,Truck,Hybrid,Manual,5436.0,34.48,30666.48,3675,1401.25,Africa
VH02679,Toyota,Corolla,2014,Truck,Petrol,CVT,4851.0,18.64,29371.45,874,1116.89,North America
VH02928,TOYOTA,Prius,2019,Sedan,cng,DCT,,18.24,27408.77,3894,1243.96,Middle East
VH02214,BMW,5 Series,2016,Sedan,Diesel,Automatic,2251.0,10.9,44328.59,3541,2009.36,Asia Pacific
VH00158,Mercedes-Benz,GLE,2016,Truck,Petrol,,,13.26,55631.78,3920,2775.24,Europe
VH02493,Tesla,Model S,2023,Sedan,LPG,DCT,3168.0,10.55,42868.98,1202,1561.32,Asia Pacific
VH04177,Hyundai,Tucson,2020,Wagon,LPG,CVT,3483.0,10.61,22276.87,3884,867.46,South Asia
VH04577,Porsche,Taycan,2009,Coupe,Petrol,AMT,1324.0,18.88,51567.71,4133,2482.03,Africa
VH04151,Kia,Soul,2015,Coupe,LPG,CVT,1816.0,11.64,24279.79,672,1113.52,Asia Pacific
VH00229,Chevrolet,Equinox,2020,Truck,LPG,Auto,4941.0,11.72,31483.75,3573,1356.95,Europe
VH03201,Kia,Carnival,2015,Hatchback,Hybrid,Manual,3358.0,32.65,21232.62,4007,992.07,Latin America
VH00927,Volkswagen,Passat,2024,Hatchback,Electric,Manual,0.0,10.19,30132.96,2802,925.91,Europe
VH04296,Mazda,Mazda3,2021,Sedan,CNG,,1435.0,17.08,22109.66,4232,816.85,Asia Pacific
VH01621,Toyota,Highlander,2007,Sedan,Electric,DCT,0.0,8.19,33196.52,3913,1986.76,Africa
VH00030,Toyota,Camry,2020,Convertible,Electric,Manual,0.0,14.25,33362.8,853,,North America
VH04014,Chevrolet,Tahoe,2024,SUV,Hybrid,Automatic,1503.0,25.04,29307.76,2088,600.35,Latin America
VH01056,Mazda,MX-5 Miata,2012,SUV,Electric,DCT,0.0,9.0,39688.27,1187,2038.66,Africa
VH04003,Volvo,C40,2023,Convertible,LPG,Manual,,,52049.94,1452,1602.66,Middle East
VH00469,Tesla,Model Y,2012,Sedan,LPG,CVT,1658.0,12.2,45164.71,1518,1919.65,Europe
VH02158,Mercedes-Benz,GLC,2023,Truck,CNG,CVT,5753.0,14.34,43485.0,3166,1221.05,Middle East
VH00671,  Ram  ,ProMaster,2006,Truck, Hybrid ,DCT,3212.0,19.83,35086.62,332,1783.35,South Asia
VH04344,Mercedes-Benz,S-Class,2016,Van,Petrol,CVT,1863.0,18.23,49765.0,3713,2056.43,North America
VH04155,BMW,5 Series,2019,Sedan,Petrol,Manual,2857.0,14.49,48197.53,75,1809.12,South Asia
VH01483,Chevrolet,Equinox,2011,Truck,Hybrid,Automatic,2537.0,29.3,31280.05,2122,1948.21,North America
VH01428,BMW,X3,2007,Van,Hybrid,Manual,2886.0,25.4,51582.04,4724,3468.61,Asia Pacific
VH03025,BMW,3 Series,2017,Hatchback,LPG,,1411.0,,40252.77,4748,1576.64,South Asia
VH02611,Audi,Q7,2015,Hatchback,Diesel,Automatic,2936.0,17.31,42127.07,708,1694.79,Africa
VH00152,Land Rover,Defender,2012,SUV,LPG,,2728.0,9.16,41234.21,1010,2031.91,Asia Pacific
VH00656,Lexus,GX,2022,Sedan,Electric,AMT,0.0,12.09,66883.79,173,2186.96,Europe
VH02804,BMW,7 Series,2024,Van,Diesel,AMT,2237.0,17.31,38925.95,3885,1393.41,Middle East
VH02518,Lexus,GX,2006,Van,Petrol,DCT,3424.0,14.28,47643.02,1884,,Asia Pacific
VH00241,Ram,ProMaster,2015,Van,LPG,Automatic,2552.0,12.01,21895.46,3162,,Asia Pacific
VH00625,Kia,Forte,2015,Convertible,Hybrid,CVT,1338.0,17.34,26786.02,463,1390.64,Asia Pacific
VH04054,SUBARU,Legacy,2007,Truck,petrol,DCT,4011.0,9.52,23878.26,463,1232.21,North America
VH04101,Land Rover,Defender,2009,SUV,Electric,Automatic,0.0,12.46,58901.16,529,2925.32,South Asia
VH00334,Ram,1500,2017,Van,N/A,,2816.0,,24020.1,4907,886.25,Asia Pacific
VH04048,Toyota,Corolla,2022,Sedan,Electric,AMT,0.0,7.63,35415.03,4631,1240.55,Latin America
VH04464,Mazda,CX-5,2009,Wagon,Petrol,Automatic,2640.0,17.84,24857.64,1100,1196.47,South Asia
VH03258,BMW,X5,2022,Convertible,Petrol,AMT,2608.0,10.54,43940.15,768,1508.92,North America
VH00169,Chevrolet,Malibu,2011,Truck,Hybrid,AMT,3344.0,21.61,34536.97,2414,1422.49,Africa
VH03117,Jeep,Wrangler,2018,SUV,LPG,Manual,3484.0,17.03,25195.53,4596,1139.62,South Asia
VH04529,Volkswagen,ID.4,2007,Truck,Electric,DCT,0.0,13.64,30903.61,4794,1938.06,Latin America
VH04553,  Audi  ,A6,2019,Wagon, Diesel ,Manual,1665.0,17.21,48457.4,2645,1994.08,Asia Pacific
VH00600,Kia,Carnival,2012,Truck,Petrol,Automatic,5812.0,8.84,24158.47,1947,1302.89,Latin America
VH00297,Mazda,Mazda6,2009,Truck,Diesel,AMT,4223.0,10.08,31094.74,4682,1626.78,Africa
VH02292,Ford,Explorer,2024,Sedan,Hybrid,AMT,1645.0,22.17,27071.91,2465,809.63,Europe
VH01715,Hyundai,Elantra,2006,Hatchback,CNG,Automatic,1817.0,19.05,19724.45,420,1183.47,South Asia
VH04649,Ram,3500,2018,Van,LPG,Automatic,2404.0,11.76,28309.68,3869,1399.52,Europe
VH04975,Nissan,Pathfinder,2023,Wagon,CNG,,1956.0,16.54,21261.53,1415,601.9,Europe
VH04482,Porsche,911,2016,Coupe,Hybrid,Automatic,3150.0,31.25,50256.59,4137,2018.73,Middle East
VH03361,Land Rover,Range Rover,2022,SUV,Electric,AMT,0.0,,74891.65,3279,2597.98,North America
VH01175,Kia,Carnival,2008,Truck,Diesel,,6107.0,23.73,32392.84,4002,1699.89,North America
VH04918,Jeep,Renegade,2009,SUV,Electric,DCT,0.0,13.06,37008.93,4632,1996.61,South Asia
VH03865,Kia,Carnival,2006,SUV,LPG,AMT,1534.0,11.08,18249.9,2106,1078.95,Middle East
VH00811,Chevrolet,Equinox,2007,Truck,LPG,CVT,4766.0,11.03,27971.88,995,1244.22,Europe
VH01352,BMW,3 Series,2015,Sedan,Hybrid,DCT,2859.0,33.98,56224.39,2584,2427.06,North America
VH01973,Jeep,Renegade,2022,SUV,LPG,Automatic,2115.0,15.7,27738.75,1654,607.3,Europe
VH03373,Hyundai,Santa Fe,2006,Convertible,Hybrid,Automatic,2278.0,26.65,,2162,1680.19,South Asia
VH01554,Toyota,Highlander,2010,Convertible,Diesel,AMT,1270.0,24.62,35521.34,1545,2231.86,Middle East
VH00554,BMW,5 Series,2007,Hatchback,LPG,AMT,1682.0,13.75,,2775,1293.24,Latin America
VH01520,  Nissan  ,Murano,2006,Convertible, CNG ,DCT,2290.0,15.85,28590.67,276,1018.56,Europe
VH01877,BMW,X5,2012,Sedan,CNG,Manual,3238.0,13.2,42588.21,4907,1696.49,Africa
VH01421,Kia,Sportage,2006,Van,Electric,Automatic,0.0,9.37,29789.3,1250,1706.69,South Asia
VH04241,Audi,A3,2018,Wagon,Diesel,DCT,1486.0,12.84,52366.35,3467,1510.04,North America
VH00764,Porsche,Boxster,2009,SUV,Diesel,Automatic,4091.0,23.9,,3649,,Africa
VH02521,Mazda,CX-30,2009,Wagon,Hybrid,Automatic,1154.0,34.88,31517.54,4877,,North America
VH00722,Mazda,CX-5,2007,Wagon,Electric,Manual,0.0,8.52,35951.25,4853,2585.56,South Asia
VH01376,Mercedes-Benz,GLC,2015,SUV,Petrol,CVT,2357.0,8.07,53684.21,192,2534.34,South Asia
VH00682,Ford,Explorer,2012,Sedan,LPG,AMT,1634.0,11.07,,645,1702.4,South Asia
VH02233,Nissan,Altima,2005,Sedan,Petrol,Manual,2579.0,14.59,25156.05,2887,1290.22,Middle East
VH04327,Chevrolet,Malibu,2019,Sedan,LPG,CVT,1779.0,10.89,25570.78,1189,1123.07,Africa
VH02916,Porsche,Macan,2019,Coupe,Petrol,CVT,2185.0,13.09,46122.24,785,1517.03,Europe
VH03902,Hyundai,Palisade,2014,Truck,Petrol,CVT,2612.0,15.35,35120.66,1441,1189.89,Europe
VH01539,Jeep,Compass,2011,SUV,Hybrid,AMT,2271.0,19.35,,562,1284.97,Africa
VH02046,Kia,Carnival,2021,Van,LPG,,2040.0,14.57,22949.08,2839,569.19,Latin America
VH02068,Toyota,Prius,2007,SUV,Petrol,DCT,1522.0,16.93,31416.67,4824,1870.2,Middle East
VH01594,Porsche,Boxster,2005,Coupe,Diesel,AMT,3452.0,15.06,50300.42,2841,3026.37,Latin America
VH02701,Mazda,CX-30,2013,Van,LPG,CVT,2863.0,15.93,24948.74,1695,1316.5,Latin America
VH00228,,Defender,2018,SUV,Diesel,Manual,3542.0,16.74,54039.7,202,2011.88,Middle East
VH03955,Toyota,Tacoma,2015,Convertible,Diesel,Manual,1032.0,21.97,30912.28,2163,1281.52,North America
VH00545,Honda,CR-V,2022,Sedan,Hybrid,Manual,3328.0,17.48,26713.16,3756,1092.17,Europe
VH04009,Chevrolet,Tahoe,2013,SUV,Electric,Manual,0.0,7.14,27953.82,2485,1476.12,South Asia
VH03730,Mercedes-Benz,GLC,2007,Coupe,Diesel,Manual,1208.0,24.71,55828.12,2002,3195.39,Europe
VH03227,Tesla,Model S,2024,SUV,Electric,Automatic,0.0,5.52,55886.41,1670,1541.86,North America
VH03249,Ford,Mustang,2008,Sedan,CNG,Automatic,3076.0,12.93,24853.87,1558,838.12,Asia Pacific
VH02165,Volkswagen,Atlas,2022,SUV,Electric,Manual,0.0,6.01,29555.67,4474,1270.59,North America
VH02749,Audi,A4,2021,Hatchback,Hybrid,Manual,3056.0,32.21,51528.7,1622,1566.72,Middle East
VH00765,Lexus,RX,2007,SUV,Electric,Manual,0.0,11.48,67657.81,2638,3914.92,South Asia
VH02277,Nissan,Rogue,2022,Convertible,CNG,CVT,1344.0,17.19,24372.93,3828,857.79,Africa
VH03653,Ford,Mustang,2024,Sedan,,CVT,2622.0,16.29,25583.7,4017,710.45,South Asia
VH00249,Volvo,S60,2013,SUV,Electric,AMT,0.0,14.33,72532.1,3164,3296.22,Europe
VH04828,Ram,Dakota,2013,Van,Hybrid,Automatic,2376.0,21.69,28814.76,1449,1253.52,Africa
VH01243,Mazda,CX-5,2011,SUV,LPG,AMT,4350.0,12.12,21513.41,2595,1065.71,Middle East
VH00812,Volvo,XC90,2015,Convertible,Hybrid,Automatic,2537.0,32.81,65826.26,2874,3424.82,Middle East
VH04142,Subaru,WRX,2005,SUV,Petrol,Manual,4556.0,,30015.76,258,1836.87,Asia Pacific
VH02312,Lexus,ES,2022,Convertible,Petrol,CVT,3468.0,10.94,42044.93,2011,1530.89,Asia Pacific
VH03893,Ram,3500,2007,Van,,DCT,,17.12,23724.66,228,1160.84,North America
VH00997,  Mazda  ,CX-5,2005,Truck, Electric ,Automatic,0.0,13.29,40342.91,2837,2564.44,South Asia
VH02776,Honda,Accord,2012,SUV,LPG,Manual,,10.92,24443.88,2514,1099.9,North America
VH04387,BMW,7 Series,2020,Coupe,LPG,DCT,3464.0,15.9,56276.56,1275,1829.85,Africa
VH03216,Audi,Q5,2021,Wagon,Diesel,,3308.0,19.0,50963.16,2138,1892.2,Asia Pacific
VH01159,  Volkswagen  ,ID.4,2006,Van, Hybrid ,AMT,2313.0,34.82,24979.85,2507,1247.8,Africa
VH04326,Ram,3500,2022,Van,CNG,AMT,2801.0,20.63,23315.37,4554,984.98,Middle East
VH02664,BMW,M3,2019,Wagon,Diesel,DCT,2449.0,15.27,43293.58,4170,1355.34,Asia Pacific
VH01118,VOLVO,C40,2006,Hatchback,petrol,Manual,2162.0,10.5,37371.39,1511,2058.82,Latin America
VH01050,Volkswagen,ID.4,2016,Hatchback,Diesel,AMT,2603.0,15.11,25451.16,4055,951.25,Middle East
VH04199,Hyundai,Kona,2005,Van,,Automatic,,15.22,27513.31,3457,1628.25,North America
VH01232,Ram,2500,2024,Truck,Petrol,Manual,2827.0,12.2,22070.8,2,656.41,North America
VH00678,Jeep,Grand Cherokee,2018,SUV,,CVT,,19.38,23640.07,3545,1026.36,Europe
VH02993,Land Rover,Defender,2009,SUV,Petrol,AMT,1644.0,9.39,47069.64,710,2787.6,North America
VH00081,BMW,X5,2007,Hatchback,Electric,Automatic,0.0,5.88,52862.77,3645,2682.62,Latin America
VH03222,Honda,CR-V,2010,Sedan,CNG,DCT,1028.0,21.18,25128.7,4377,1339.51,North America
VH02448,Volvo,S60,2013,Sedan,Hybrid,Manual,3427.0,16.32,47274.02,1227,2112.04,Asia Pacific
VH00801,Land Rover,Discovery,2015,SUV,Hybrid,CVT,3614.0,33.09,60260.99,2520,3004.63,Asia Pacific
VH01610,Hyundai,Palisade,2007,Sedan,Petrol,DCT,3451.0,11.9,24376.53,4612,1198.46,Asia Pacific
VH04445,Nissan,Rogue,2012,Sedan,LPG,CVT,2840.0,17.44,23482.3,3250,1022.24,Africa
VH00556,Volkswagen,Passat,2012,Sedan,CNG,CVT,2483.0,17.91,21948.56,3636,685.78,Middle East
VH04400,Toyota,Corolla,2019,Coupe,LPG,CVT,1724.0,16.03,26656.14,1656,1352.82,Europe
